,Time [s],Vitesse [m/s],Couple pédale [Nm],I [A]
133,1.33,1.9178831635547269,4.869702884129115,4.879451394081116
134,1.34,1.9166194308315705,4.904239518301824,4.605013966560364
135,1.35,1.915282492019588,4.904239518301824,5.3653823137283325
136,1.36,1.9141630877936844,4.9387761524745395,5.80851137638092
137,1.37,1.9131754655486117,4.9387761524745395,4.866862893104554
138,1.3800000000000001,1.911919012513084,4.904239518301824,4.192098498344421
139,1.3900000000000001,1.9104651050855366,4.386186599731449,4.597460389137268
140,1.4000000000000001,1.9090533193328685,3.799058709825788,4.647816061973572
141,1.41,1.9075723480279714,3.281005791255406,3.650776505470276
142,1.42,1.9057328180695572,2.6938779013497487,4.239936232566834
143,1.43,1.9039781382338894,2.2103616169520786,4.992751479148865
144,1.44,1.9023698507165816,2.1412883486066545,4.317987322807313
145,1.45,1.9005592504635949,1.6577720642089844,4.524445176124573
146,1.46,1.8987389523995533,1.0706441743033275,4.237418532371521
147,1.47,1.896753161374038,1.0361075401306152,3.6633652448654175
148,1.48,1.8945988468452875,1.1397174426487515,4.250007271766663
149,1.49,1.892627407377696,1.6232337270464217,4.864345192909241
150,1.5,1.8909009892366595,2.1412883486066545,3.7917717695236206
151,1.51,1.8889424992959087,3.695447104317801,3.6684008836746216
152,1.52,1.887171202886433,4.9387761524745395,3.514816641807556
153,1.53,1.8855340232639624,6.043956960950579,3.3989988565444946
154,1.54,1.8840219866425467,7.149137769426618,2.774590253829956
155,1.55,1.8824897545436994,7.978023801531111,2.8274635076522827
156,1.56,1.8810913697145517,8.185243606567383,3.376338839530945
157,1.57,1.8798797088919807,9.221349443708142,2.7695547342300415
158,1.58,1.8786429559433775,9.912088939121793,3.008743405342102
159,1.59,1.8775734847043541,10.671898296901166,2.711645722389221
160,1.6,1.8765279017794354,11.535320963178362,3.016296863555908
161,1.61,1.8756929321863736,12.087913921901166,3.9705342054367065
162,1.62,1.875209722607151,12.882259913853238,5.033035874366761
163,1.6300000000000001,1.8751436664770968,13.814755848475865,5.461057782173156
164,1.6400000000000001,1.875333130180533,14.88540172576905,5.768226742744446
165,1.6500000000000001,1.8757632652558092,15.437991278512138,6.813104271888733
166,1.6600000000000001,1.8765707859608596,16.577707018171036,6.279335141181946
167,1.67,1.8773884446940796,17.648352895464214,6.377529263496399
168,1.68,1.8783869330892742,18.304552350725444,7.601168274879456
169,1.69,1.8798285614481023,18.235479082380014,7.52815306186676
170,1.7,1.8812391517873719,18.20094244820731,7.341837048530579
171,1.71,1.882591272905734,18.20094244820731,8.044296383857727
172,1.72,1.8841438069510925,17.613816261291504,7.578508019447327
173,1.73,1.8854790507511934,17.648352895464214,7.419888138771057
174,1.74,1.886773622266597,17.199373245239258,8.537781357765198
175,1.75,1.8883231744863564,16.61224365234375,8.157597184181215
176,1.76,1.8896798949534883,16.094190733773367,6.747642159461974
177,1.77,1.890559472842233,14.919938359941757,7.724539399147034
178,1.78,1.8915502254079357,14.712715148925781,7.326730847358704
179,1.79,1.8923975027674325,12.640503474644254,6.314584374427795
180,1.8,1.8926593836217602,11.569857597351074,6.93647539615631
181,1.81,1.8929459420967856,9.981162207467216,7.241125702857971
182,1.82,1.8930925256269262,9.324962752205986,6.463133454322815
183,1.83,1.8929230514674058,8.185243606567383,6.46816885471344
184,1.84,1.8925922352887972,7.736263956342424,6.505935311317444
185,1.85,1.89220814046551,7.356357574462884,5.438398003578186
186,1.86,1.891464844948634,6.596548216683524,6.521042466163636
187,1.87,1.8909224915047103,6.596548216683524,6.382564663887024
188,1.8800000000000001,1.890340689193017,6.00942032677787,5.541627049446106
189,1.8900000000000001,1.8894348682505637,4.904239518301824,5.607089161872864
190,1.9000000000000001,1.888390061900652,4.835164546966556,6.133304715156555
191,1.9100000000000001,1.8874859588857056,4.904239518301824,5.380488991737366
